jour,gain_fcr_eur,gain_afrr_symetrique_eur,gain_afrr_hausse_eur,gain_afrr_baisse_eur,gain_mfrr_hausse_eur,gain_mfrr_baisse_eur,gain_total_eur
2021-06-01,,,,,29.759999999999998,,29.759999999999998
2021-06-02,,,,,29.759999999999998,,29.759999999999998
2021-06-03,,,,,29.759999999999998,,29.759999999999998
2021-06-04,,,,,35.49,,35.49
2021-06-05,,,,,41.25,,41.25
2021-06-06,,,,,52.74,,52.74
2021-06-07,,,,,49.935,,49.935
2021-06-08,,,,,99.32000000000001,,99.32000000000001
2021-06-09,,,,,65.46000000000001,,65.46000000000001
2021-06-10,,,,,94.885,,94.885
2021-06-11,,,,,30.1,,30.1
2021-06-12,,,,,12.57,,12.57
2021-06-13,,,,,12.48,,12.48
2021-06-14,,,,,29.669999999999998,,29.669999999999998
2021-06-15,,,,,29.759999999999998,,29.759999999999998
2021-06-16,,,,,89.925,,89.925
2021-06-17,,,,,30.075,,30.075
2021-06-18,,,,,29.759999999999998,,29.759999999999998
2021-06-19,,,,,21.165,,21.165
2021-06-20,,,,,12.525,,12.525
2021-06-21,,,,,12.48,,12.48
2021-06-22,,,,,12.48,,12.48
2021-06-23,,,,,55.455,,55.455
2021-06-24,,,,,29.895,,29.895
2021-06-25,,,,,19.255000000000003,,19.255000000000003
2021-06-26,,,,,29.705,,29.705
2021-06-27,,,,,29.759999999999998,,29.759999999999998
2021-06-28,,,,,29.759999999999998,,29.759999999999998
2021-06-29,,,,,29.759999999999998,,29.759999999999998
2021-06-30,,,,,29.759999999999998,,29.759999999999998
2021-07-01,,,,,57.455,,57.455
2021-07-02,,,,,29.905,,29.905
2021-07-03,,,,,58.41,,58.41
2021-07-04,,,,,65.245,,65.245
2021-07-05,,,,,90.11,,90.11
2021-07-06,,,,,90.24,,90.24
2021-07-07,,,,,90.24,,90.24
2021-07-08,,,,,90.24,,90.24
2021-07-09,,,,,33.894999999999996,,33.894999999999996
2021-07-10,,,,,89.945,,89.945
2021-07-11,,,,,30.075,,30.075
2021-07-12,,,,,37.4,,37.4
2021-07-13,,,,,39.339999999999996,,39.339999999999996
2021-07-14,,,,,29.81,,29.81
2021-07-15,,,,,41.22,,41.22
2021-07-16,,,,,29.82,,29.82
2021-07-17,,,,,12.57,,12.57
2021-07-18,,,,,15.345,,15.345
2021-07-19,,,,,29.685,,29.685
2021-07-20,,,,,29.759999999999998,,29.759999999999998
2021-07-21,,,,,29.759999999999998,,29.759999999999998
2021-07-22,,,,,29.759999999999998,,29.759999999999998
2021-07-23,,,,,29.759999999999998,,29.759999999999998
